X,Y,ID,SER,PERMIT,CR,DR,LOCATION,DATE,CD,TG,GD,MODEL,THEME,CITY,LAT,LON,TOOLTIP
-118.446800000065,34.1719999998805,1,EV277,,NE,WB,BURBANK NS VAN NUYS,1994/01/12 00:00:00+00,2,562,A1,A,AD SHELTERS,LOS ANGELES,34.172,-118.4468,Type: AD SHELTERS\nLocation:  BURBANK NS VAN NUYS\nCouncil District:  2\nDate:  1/12/1994\nSerial: EV277\nPermit:  
-118.413600000015,34.2216000000297,2,EV064,,SW,SB,COLDWATER CYN. FS ROSCOE,1982/09/29 00:00:00+00,2,532,E2,A,AD SHELTERS,LOS ANGELES,34.2216,-118.4136,Type: AD SHELTERS\nLocation:  COLDWATER CYN. FS ROSCOE\nCouncil District:  2\nDate:  9/29/1982\nSerial: EV064\nPermit:  
-118.287799999941,34.2484000001048,3,EV094,,NE,WB,FOOTHILL NS COMMERCE,1983/12/15 00:00:00+00,2,504,A5,A,AD SHELTERS,LOS ANGELES,34.2484,-118.2878,Type: AD SHELTERS\nLocation:  FOOTHILL NS COMMERCE\nCouncil District:  2\nDate:  12/15/1983\nSerial: EV094\nPermit:  
-118.317300000135,34.2596000000597,4,EV096,,SE,EB,FOOTHILL FS FLORALITA,1983/12/14 00:00:00+00,2,503,G3,A,AD SHELTERS,LOS ANGELES,34.2596,-118.3173,Type: AD SHELTERS\nLocation:  FOOTHILL FS FLORALITA\nCouncil District:  2\nDate:  12/14/1983\nSerial: EV096\nPermit:  
-118.300400000085,34.2579000001311,5,LA011,,NW,NB,FOOTHILL FS WYNGATE,1979/09/29 00:00:00+00,2,503,J3,B,AD SHELTERS,LOS ANGELES,34.2579,-118.3004,Type: AD SHELTERS\nLocation:  FOOTHILL FS WYNGATE\nCouncil District:  2\nDate:  9/29/1979\nSerial: LA011\nPermit:  
-118.309799999964,34.2596999999465,6,EV211,,NE,WB,FOOTHILL NS McVINE,1989/01/31 00:00:00+00,2,503,G3,A,AD SHELTERS,LOS ANGELES,34.2597,-118.3098,Type: AD SHELTERS\nLocation:  FOOTHILL NS McVINE\nCouncil District:  2\nDate:  1/31/1989\nSerial: EV211\nPermit:  
-118.275799999847,34.2466999999816,7,EV172,,NE,WB,FOOTHILL NS TUJUNGA CYN.,1989/01/31 00:00:00+00,2,504,B5,A,AD SHELTERS,LOS ANGELES,34.2467,-118.2758,Type: AD SHELTERS\nLocation:  FOOTHILL NS TUJUNGA CYN.\nCouncil District:  2\nDate:  1/31/1989\nSerial: EV172\nPermit:  
-118.306100000107,34.2596000000597,8,EV095,,SW,EB,FOOTHILL NS WOODWARD,1982/11/05 00:00:00+00,2,503,H3,A,AD SHELTERS,LOS ANGELES,34.2596,-118.3061,Type: AD SHELTERS\nLocation:  FOOTHILL NS WOODWARD\nCouncil District:  2\nDate:  11/5/1982\nSerial: EV095\nPermit:  
-118.354300000051,34.2183999998994,9,EV282,,SE,NB,GLENOAKS NS COHASSET,1993/12/02 00:00:00+00,2,533,D4,A,AD SHELTERS,LOS ANGELES,34.2184,-118.3543,Type: AD SHELTERS\nLocation:  GLENOAKS NS COHASSET\nCouncil District:  2\nDate:  12/2/1993\nSerial: EV282\nPermit:  
-118.375299999991,34.2384000000701,10,EV533,,SE,NB,GLENOAKS NS PENDLETON,2002/02/14 00:00:00+00,2,502,J6,D2MG,AD SHELTERS,LOS ANGELES,34.2384,-118.3753,Type: AD SHELTERS\nLocation:  GLENOAKS NS PENDLETON\nCouncil District:  2\nDate:  2/14/2002\nSerial: EV533\nPermit:  
-118.381500000055,34.2450999998377,11,EV532,,SE,NB,GLENOAKS NS PEORIA,2002/02/07 00:00:00+00,2,502,J6,D2MG,AD SHELTERS,LOS ANGELES,34.2451,-118.3815,Type: AD SHELTERS\nLocation:  GLENOAKS NS PEORIA\nCouncil District:  2\nDate:  2/7/2002\nSerial: EV532\nPermit:  
-118.395599999873,34.1690000000315,12,EV218,,NE,NB,LAUREL CYN. FS CHANDLER,1992/10/29 00:00:00+00,2,562,G2,A,AD SHELTERS,LOS ANGELES,34.169,-118.3956,Type: AD SHELTERS\nLocation:  LAUREL CYN. FS CHANDLER\nCouncil District:  2\nDate:  10/29/1992\nSerial: EV218\nPermit:  
-118.395699999882,34.1830999998519,13,EV125,,SW,SB,LAUREL CYN. FS ERWIN,1984/05/04 00:00:00+00,2,532,G7,A,AD SHELTERS,LOS ANGELES,34.1831,-118.3957,Type: AD SHELTERS\nLocation:  LAUREL CYN. FS ERWIN\nCouncil District:  2\nDate:  5/4/1984\nSerial: EV125\nPermit:  
-118.395699999882,34.1830999998519,14,EV129,,SE,NB,LAUREL CYN. NS ERWIN,1983/05/06 00:00:00+00,2,532,G7,A,AD SHELTERS,LOS ANGELES,34.1831,-118.3957,Type: AD SHELTERS\nLocation:  LAUREL CYN. NS ERWIN\nCouncil District:  2\nDate:  5/6/1983\nSerial: EV129\nPermit:  
-118.395599999873,34.1901999998521,15,EV127,,NE,NB,LAUREL CYN. FS KITTRIDGE,1983/12/12 00:00:00+00,2,532,G6,B,AD SHELTERS,LOS ANGELES,34.1902,-118.3956,Type: AD SHELTERS\nLocation:  LAUREL CYN. FS KITTRIDGE\nCouncil District:  2\nDate:  12/12/1983\nSerial: EV127\nPermit:  
